"ResponseID","year2wt","PrgSrvc_IncrNum","PrgSrvc_DcrsNum","PrgSrvc_Suspend","PrgSrvc_IncrSrvc","PrgSrvc_DcrsSrvc","PrgSrvc_NewOffc","PrgSrvc_ClsdOffc","PrgSrvc_IncrArea","PrgSrvc_DcrsArea","PrgSrvc_IncrFee","PrgSrvc_DcrsFee","PrgSrvc_ShiftOnline","PrgSrvc_AddOnline","PrgSrvc_Oth","PplSrv_NumServed","PplSrv_NumWait","PplSrv_NumServed_NA_X","PplSrv_NumWait_NA_X","Dmnd_NxtYear","Staff_Fulltime_2021","Staff_Parttime_2021","Staff_Boardmmbr_2021","Staff_RegVlntr_2021","Staff_EpsdVltnr_2021","Staff_AmerVlntr_2021","Staff_PdCnslt_2021","Staff_Other_Est_2021","Staff_Fulltime_2022","Staff_Parttime_2022","Staff_Boardmmbr_2022","Staff_RegVlntr_2022","Staff_EpsdVltnr_2022","Staff_AmerVlntr_2022","Staff_PdCnslt_2022","Staff_Other_Est_2022","Staff_Fulltime_NA","Staff_Parttime_NA","Staff_Boardmmbr_NA","Staff_RegVlntr_NA","Staff_EpsdVltnr_NA","Staff_AmerVlntr_NA","Staff_PdCnslt_NA","Staff_Other_Text_NA","VolImportance","DonImportance","FndRaise_DvlpVirtual","FndRaise_IncrExp","FndRaise_DcrsExp","FndRaise_IncStaff","FndRaise_DcrsStaff","FndRaise_IncrCnslt","FndRaise_DcrsCnslt","FndRaise_IncrVolntr","FndRaise_DcrsVolntr","FndRaise_Othr","FndRaise_MajGift_Amt","FndRaise_Overall_Chng","FndRaise_Cashbelow250_Chng","FndRaise_Cashabove250_Chng","FndRaise_MajGift_Chng","FndRaise_Corp.Found_Grnt_Chng","FndRaise_RstrGift_Chng","FndRaise_UnrstrGift_Chng","FndRaise_DnrBlw250","FndRaise_DnrAbv250","FndRaise_LocGvtGrnt_Seek","FndRaise_StateGvtGrnt_Seek","FndRaise_FedGvtGrnt_Seek","FndRaise_LocGvtCntrct_Seek","FndRaise_StateGvtCntrct_Seek","FndRaise_FedGvtCntrct_Seek","FndRaise_PFGrnt_Seek","FndRaise_CFGrnt_Seek","FndRaise_DAF_Seek","FndRaise_Corp.Found_Grnt_Seek","FndRaise_UntdWy_Seek","FndRaise_CombFedCmpgn_Seek","FndRaise_OthrGvngPrgrm_Seek","FndRaise_LocGvtGrnt_Rcv","FndRaise_StateGvtGrnt_Rcv","FndRaise_FedGvtGrnt_Rcv","FndRaise_LocGvtCntrct_Rcv","FndRaise_StateGvtCntrct_Rcv","FndRaise_FedGvtCntrct_Rcv","FndRaise_PFGrnt_Rcv","FndRaise_CFGrnt_Rcv","FndRaise_DAF_Rcv","FndRaise_Corp.Found_Grnt_Rcv","FndRaise_UntdWy_Rcv","FndRaise_CombFedCmpgn_Rcv","FndRaise_OthrGvngPrgrm_Rcv","Finance_Rev_GovtMain","Finance_Rev_Prtcpnt","Finance_Rev_Govt3rdParty","Finance_Rev_IndvDon","Finance_Rev_Gift","Finance_Rev_Grnt","Finance_Rev_Spnsr","Finance_Rev_Oth","Reserves_Est","Reserves_NA_X","CARES_Rcv","CARES_Rcv_Est","FinanceChng_Reserves","FinanceChng_Borrow","FinanceChng_DcrsBnft","FinanceChng_IncrBnft","FinanceChng_IncrExp","FinanceChng_DcrsExp","FinanceChng_Oth","LeadershipChng_RetCEO","LeadershipChng_RsgnCEO","LeadershipChng_TrmnCEO","LeadershipChng_HireCEO","LeadershipChng_IntrmCEO","LeadershipChng_ChngBC","LeadershipChng_LostBoardMem","LeadershipChng_RplcBoardMem","LeadershipChng_AddBoardMem","LeadershipChng_Oth","CEOrace_AAPI","CEOrace_Black","CEOrace_Hisp","CEOrace_NativeAm","CEOrace_White","CEOrace_Oth","CEOgender_Man","CEOgender_Woman","CEOgender_Trans","CEOgender_NB","CEOgender_Oth","CEOgender_specify","BChairrace_AAPI","BChairrace_Black","BChairrace_Hisp","BChairrace_NativeAm","BChairrace_White","BChairrace_Oth","BChairgender_Man","BChairgender_Woman","BChairgender_Trans","BChairgender_NB","BChairgender_Oth","BChairgender_specify","ExtAffairs_GenEd","ExtAffairs_Media","ExtAffairs_Advocacy","ExtAffairs_GovtRs","ExtAffairs_DiscGovtGrnt","ExtAffairs_InfoReq","ExtAffairs_Testify","ExtAffairs_Lobby","ExtAffairs_OrgPrtst","ExtAffairs_Mobilize","ExtAffairs_Petition","ExtAffairs_VoteReg","ExtAffairs_VoteEd","CEOrace","CEOrace_Bi","BChairrace","BChairrace_Bi","CEOgender","BChairgender"
"R_0jRRBdHHCSFrlG9",1.35,"Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No",3000,50,"No","No","Increase",63,32,,13,37,0,0,,83,42,,15,49,0,0,,"No","No","No","No","No","No","No","No","Somewhat Important","Very Important","Yes","Yes","No","Yes","No","No","No","No","No","",1461,"Increase Moderately","Unchanged","Increase Moderately","Unchanged","Increase Significantly","Unchanged","Increase Significantly",50,60,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No",3230,760537,1528,69954,3169,6257,4650,0,336077,"No","Yes",442960,"No","Yes","No","No","Yes","No","","No","No","No","No","No","No","No","No","Yes","","","","","","","","","","","","",,"","","","","","","","","","","","","Frequently","Rarely","Most of the time","Frequently","Occasionally","Frequently","Frequently","Frequently","Never","Never","Rarely","Never","Never","","No","","No","",""
"R_3nH11rhZ9ElnxRe",1.48,"No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No",625,100,"No","No","Increase",3,4,9,6,2,,0,,4,6,9,4,2,,1,,"No","No","No","No","No","Yes","No","No","Somewhat Important","Essential","Yes","No","","No","No","No","No","No","No","",1042,"Decrease Significantly","Unchanged","Decrease Moderately","Decrease Significantly","Decrease Moderately","Not Applicable","Decrease Moderately",82,25,"No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No",0,0,0,71480,14695,7511,0,0,475145,"No","Yes",155320,"Yes","No","","","Yes","No","","No","No","No","No","No","No","Yes","No","No","","","","","","","","","","","","",,"","","","","","","","","","","","","Frequently","Never","Never","Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","","No","","No","",""
"R_3htZyk9CUtzjICd",1.09,"No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No",1830,300,"No","No","Increase",3,1,10,91,0,0,0,,3,2,14,531,11,1,2,,"No","No","No","No","No","No","No","No","Essential","Very Important","Yes","No","No","No","No","No","No","No","No","",495,"Increase Moderately","Increase Moderately","Increase Moderately","Increase Moderately","Unchanged","Unchanged","Unchanged",0,0,"Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No",26411,0,0,190391,0,109405,25240,4734,160323,"No","Yes",27405,"Yes","Yes","Yes","Yes","Yes","","","No","No","No","No","No","No","Yes","No","Yes","Yes","","","","","","","","","","","",,"","","","","","","","","","","","","Occasionally","Never","Rarely","Occasionally","Rarely","Rarely","Never","Never","Never","Never","Rarely","Never","Never","","No","","No","",""
"R_2YEseQzijTMDo8P",1.1,"Yes","No","No","Yes","No","Yes","No","Yes","No","","","Yes","Yes","",950,300,"No","No","Increase",12,2,11,35,0,0,0,,15,3,9,39,5,0,0,,"No","No","No","No","No","No","No","No","Very Important","Somewhat Important","No","No","No","No","No","No","No","No","No","",2333,"Increase Moderately","Increase Moderately","Increase Significantly","Unchanged","Increase Moderately","Unchanged","Increase Moderately",210,32,"Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","No","No",1084977,0,0,42369,586155,75272,0,0,497687,"No","Yes",54696,"No","No","No","No","Yes","No","","No","No","No","No","No","Yes","Yes","Yes","No","","","","","","","","","","","","",,"No","No","No","No","Yes","No","Yes","No","No","No","No","","Rarely","Never","Rarely","Rarely","Rarely","Rarely","Never","Never","Never","Never","Never","Never","Never","","No","White","No","","Man"
"R_3lEQeGR2foyW9pL",1.22,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No",500,,"No","Yes","Increase",1,,14,20,0,,,,1,,14,21,10,,,,"No","Yes","No","No","No","Yes","Yes","No","Essential","Essential","No","Yes","No","No","No","No","No","Yes","No","",1059,"Increase Moderately","Increase Moderately","Unchanged","Increase Moderately","Unchanged","Increase Moderately","Increase Moderately",103,50,"No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No",0,0,0,15217,20100,108699,1975,0,116780,"No","Yes",103208,"No","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","Yes","","","","","","","","","","","","",,"","","","","","","","","","","","","Rarely","Rarely","Never","Rarely","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","","No","","No","",""
"R_SCamjw1kSQNqtIB",0.92,"Yes","No","No","Yes","No","No","No","Yes","No","No","","Yes","Yes","",200,50,"No","Yes","Increase",1,8,11,23,30,0,1,,1,10,10,30,31,0,1,,"No","No","No","No","No","No","No","Yes","Very Important","Very Important","","","","","","","","","","",4917,"Unchanged","Unchanged","Unchanged","Unchanged","Increase Moderately","Increase Moderately","Increase Moderately",0,0,"Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",2,0,0,0,0,0,0,0,,"Yes","",,"","Yes","","","","","","","","","","","","No","","Yes","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_1r9ALU0Wqckc9XD",1.13,"No","No","No","No","No","No","No","No","No","","","Yes","No","No",3000,400,"No","No","Increase",93,17,21,21,24,,,,87,28,20,19,25,,,,"No","No","No","No","No","Yes","Yes","Yes","Somewhat Important","Somewhat Important","Yes","No","No","Yes","No","No","No","No","No","",4891,"Unchanged","Unchanged","Unchanged","Unchanged","Unchanged","Unchanged","Unchanged",100,234,"Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes",6323966,,0,196996,0,398926,144823,296991,,"Yes","Yes",,"","","Yes","No","Yes","","","No","No","No","No","No","No","Yes","Yes","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Occasionally","Never","Rarely","Never","Rarely","Rarely","Never","Never","Never","Never","Rarely","Never","Never","White","No","White","No","Woman","Woman"
"R_1P7fv4kkoNW9gMb",1.13,"Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes",3000,10000,"No","No","Increase",32,2,9,2,101,2,7,,44,6,14,2,101,2,7,,"No","No","No","No","No","No","No","No","Somewhat Important","Somewhat Important","No","No","No","Yes","No","Yes","Yes","No","No","",1014,"Increase Moderately","Unchanged","Unchanged","Increase Significantly","Increase Significantly","Increase Significantly","Decrease Significantly",52,22,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No",1598991,5029,0,535646,319390,2069395,102016,1240136,5209186,"No","Yes",508677,"No","Yes","No","No","No","Yes","","No","No","No","No","No","No","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Frequently","Occasionally","Frequently","Frequently","Occasionally","Frequently","Rarely","Rarely","Rarely","Rarely","Occasionally","Occasionally","Rarely","White","No","White","No","Woman","Woman"
"R_yD3tDzHb8P6pE8V",2.7,"Yes","No","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No",480000,,"No","Yes","Increase",60,7,14,32,1116,,1,,66,5,19,37,1279,,2,,"No","No","No","No","No","Yes","No","No","Very Important","Very Important","Yes","No","No","Yes","No","No","","Yes","No","",5,"Decrease Moderately","Decrease Moderately","Unchanged","Unchanged","Decrease Moderately","Decrease Moderately","Decrease Moderately",27665,11524,"Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No",,,,,,,,,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_1kOiBM4s9VyFFbY",0.97,"No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes",60,50,"No","No","Unchanged",0,0,10,1,7,0,0,,0,0,11,1,8,0,0,,"No","No","No","No","No","No","No","Yes","Essential","Not At All Important","No","No","No","No","No","No","No","No","No","",27,"Unchanged","Decrease Significantly","Decrease Significantly","Decrease Significantly","Not Applicable","Not Applicable","Not Applicable",2,2,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,4466,0,0,0,0,0,0,60990,"No","No",,"Yes","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Occasionally","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
